"Fecha
de la Operación",Fecha de cargo,Descripción del movimiento,Monto
11-sep-2025, 15-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $122.00
11-sep-2025, 15-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $192.90
12-sep-2025, 15-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $250.00
12-sep-2025, 15-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $66.00
12-sep-2025, 15-sep-202,CARLS JR PARK POINT II JFO 901024SX4,+ $358.00
12-sep-2025, 15-sep-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $35.00
13-sep-2025, 15-sep-202,MUEB MAXI HOME CUMBRES MHM 221031S26MX,+ $978.00
13-sep-2025, 15-sep-202,LITTLE CAESA CUMBRES S PCA 0810272Y0MX,+ $20.00
13-sep-2025, 15-sep-202,MAXICHINA XHA 230908K27MX,+ $279.45
13-sep-2025, 15-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $79.80
13-sep-2025, 15-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $498.00
13-sep-2025, 15-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $17.90
13-sep-2025, 15-sep-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $48.00
13-sep-2025, 15-sep-202,BENA 330157 BONAV FBE 9110215Z3,+ $114.00
13-sep-2025, 15-sep-202,SUPERCENTE CUMBRES MTY NWM 9709244W4,+ $264.00
13-sep-2025, 15-sep-202,REST PC SAPI WEB PCA0810272Y0MX,+ $129.00
13-sep-2025, 15-sep-202,ABTS LEAL MP S CUMBRES LMR 120118RP4MX,+ $700.01
13-sep-2025, 15-sep-202,CLIP MX*REST LAS ENLIC BLI 120726UF6MX,+ $120.00
14-sep-2025, 15-sep-202,APPLE.COM/BILL 866-712-7753 CA,+ $249.00
14-sep-2025, 15-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $65.00
14-sep-2025, 15-sep-202,SMARTPY*ELITECINEMAS OCS 230228RG4MX,+ $409.00
14-sep-2025, 15-sep-202,REST CARBONERO CUMBRES JFR 150122C29MX,+ $154.00
14-sep-2025, 15-sep-202,STRIPE *ELITE CINEMAS SPM 1410037E8MX,+ $240.00
14-sep-2025, 15-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $45.00
14-sep-2025, 15-sep-202,CARLS JR PARK POINT II JFO 901024SX4,+ $146.00
15-sep-2025, 17-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $240.80
15-sep-2025, 17-sep-202,HEB PUERTA DE HIERRO SIH 9511279T7MX,+ $147.00
15-sep-2025, 17-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $42.00
15-sep-2025, 17-sep-202,LUMEN CUMBRES ALU830902ST5MX,+ $114.00
15-sep-2025, 17-sep-202,MAS SUSHI MPA 180227JI6MX,+ $243.00
16-sep-2025, 17-sep-202,GAS OXXOCASTELLANA SGM 950714DC2,"+ $1,404.11"
16-sep-2025, 17-sep-202,CARLS JR PARK POINT II JFO 901024SX4,+ $539.00
16-sep-2025, 18-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $89.51
17-sep-2025, 18-sep-202,CIA MEX GAS 3 MGA 2708246H0MX,+ $365.00
17-sep-2025, 18-sep-202,7ELEVEN T1822 LEONESII SEM 980701STA,+ $77.00
17-sep-2025, 18-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $46.50
17-sep-2025, 18-sep-202,SERV AGUA DREN MTY CIB SAD560528572MX,+ $289.00
17-sep-2025, 18-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
17-sep-2025, 18-sep-202,TAQUERIA KEYON SLK 120718B35MX,+ $116.00
17-sep-2025, 19-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $44.82
18-sep-2025, 19-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $26.50
18-sep-2025, 19-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $48.00
18-sep-2025, 19-sep-202,TORTILLERIA ADR AARE970816AH3,+ $289.00
18-sep-2025, 19-sep-202,TCONE*ABARROTES MORE POMR771013000MX,+ $16.00
18-sep-2025, 19-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $20.00
19-sep-2025, 22-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $92.90
19-sep-2025, 22-sep-202,TH PUERTA DE HIERRO TME 170321L38,+ $84.00
19-sep-2025, 22-sep-202,REST PC SAPI WEB PCA0810272Y0MX,+ $129.00
19-sep-2025, 22-sep-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $35.00
19-sep-2025, 22-sep-202,MAS SUSHI MPA 180227JI6MX,+ $183.00
20-sep-2025, 22-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $190.00
20-sep-2025, 22-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $379.00
20-sep-2025, 22-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $48.00
20-sep-2025, 22-sep-202,CLIP MX*REST PLAZA LAS BLI 120726UF6MX,+ $75.00
20-sep-2025, 22-sep-202,SUC PLAZA QU PLE 8708273Q0MX,+ $235.00
21-sep-2025, 22-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $169.00
21-sep-2025, 22-sep-202,SUPER ROMA SCC 120614MC1MX,+ $927.00
21-sep-2025, 22-sep-202,REST CARBONERO CUMBRES JFR 150122C29MX,+ $80.00
21-sep-2025, 22-sep-202,STR*UBER EATS UPM 191014S31MX,+ $358.00
21-sep-2025, 22-sep-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $48.00
21-sep-2025, 22-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $77.00
21-sep-2025, 23-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $42.90
22-sep-2025, 23-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $71.00
22-sep-2025, 23-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $72.00
23-sep-2025, 24-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $67.00
23-sep-2025, 24-sep-202,MAS SUSHI MPA 180227JI6MX,+ $213.00
23-sep-2025, 24-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $22.00
23-sep-2025, 25-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $97.50
23-sep-2025, 23-sep-202,SU ABONO...GRACIAS,"- $8,000.00"
24-sep-2025, 25-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $75.00
24-sep-2025, 25-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $18.00
24-sep-2025, 25-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $48.00
24-sep-2025, 25-sep-202,7 ELEVEN T2773 LINCES SEM 980701STA,+ $13.50
24-sep-2025, 25-sep-202,REST PC SAPI WEB PCA0810272Y0MX,+ $129.00
24-sep-2025, 25-sep-202,MENDEZ JR MITRAS AMJ 1905095G5MX,+ $124.25
24-sep-2025, 24-sep-202,SU ABONO...GRACIAS,"- $33,000.00"
25-sep-2025, 26-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $70.00
25-sep-2025, 26-sep-202,CARLS JR PARK POINT II JFO 901024SX4,+ $601.00
25-sep-2025, 26-sep-202,TH FORUM LEONES MP TME170321L38MX,+ $178.00
25-sep-2025, 26-sep-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $25.00
25-sep-2025, 26-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $14.00
25-sep-2025, 26-sep-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $20.00
26-sep-2025, 29-sep-202,APPLE.COM/BILL 866-712-7753 CA,+ $499.00
26-sep-2025, 29-sep-202,HEB PUERTA DE HIERRO SIH 9511279T7MX,+ $163.00
26-sep-2025, 29-sep-202,ABARR TAM SAL PUERTA D TSJ 900605LU5MX,+ $798.00
26-sep-2025, 29-sep-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $55.00
26-sep-2025, 29-sep-202,7 ELEVEN T1825 SEM 980701STA,+ $70.50
26-sep-2025, 29-sep-202,STRIPE *UBER EATS UPM 191014S31MX,+ $367.00
27-sep-2025, 29-sep-202,TAQUERIA SIBER MEXICAN GARCIA NL MX,+ $110.00
27-sep-2025, 29-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $110.29
27-sep-2025, 29-sep-202,GAS OXXOSAN AGUSTIN SGM 950714DC2,"+ $1,375.32"
27-sep-2025, 29-sep-202,CARLS JR SENDERO LINCO JFO 901024SX4,+ $358.00
27-sep-2025, 29-sep-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $35.00
28-sep-2025, 29-sep-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $161.00
28-sep-2025, 29-sep-202,REST CARBONERO CUMBRES JFR 150122C29MX,+ $80.00
28-sep-2025, 29-sep-202,7 ELEVEN T 2008 SEM 980701STA,+ $48.00
28-sep-2025, 29-sep-202,PARROQUIA SAN JORGE DE PSJ 1707276S6MX,+ $300.00
28-sep-2025, 29-sep-202,CLIP MX*REST PLAZA LAS BLI 120726UF6MX,+ $70.00
28-sep-2025, 29-sep-202,MAS SUSHI MPA 180227JI6MX,+ $149.00
28-sep-2025, 30-sep-202,SUBWAY 72525 SAE 070626SV8MX,+ $88.00
28-sep-2025, 30-sep-202,HEB PUERTA DE HIERRO SIH 9511279T7MX,+ $265.90
28-sep-2025, 30-sep-202,CUMBRES III S D SIH 9511279T7MX,+ $254.49
29-sep-2025, 30-sep-202,TH FORUM LEONES TME170321L38MX,+ $178.00
30-sep-2025, 01-oct-202,7 ELEVEN T1825 SEM 980701STA,+ $48.00
30-sep-2025, 01-oct-202,7 ELEVEN T2773 LINCES SEM 980701STA,+ $38.00
30-sep-2025, 01-oct-202,TORTILLERIA ADR AARE970816AH3,+ $246.00
30-sep-2025, 01-oct-202,NAYAXX1*NAYAX TRES SES NAY 150810T77MX,+ $35.00
30-sep-2025, 02-oct-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $169.00
30-sep-2025, 02-oct-202,CUMBRES III S D SIH 9511279T7MX,+ $332.80
01-oct-2025, 02-oct-202,7ELEVEN T1822 LEONESII SEM 980701STA,+ $22.50
01-oct-2025, 02-oct-202,7 ELEVEN T1825 SEM 980701STA,+ $87.01
01-oct-2025, 02-oct-202,TCONE*ABARROTES MORE POMR771013000MX,+ $20.00
01-oct-2025, 02-oct-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $16.00
01-oct-2025, 03-oct-202,CUMBRES III S D SIH 9511279T7MX,+ $112.53
02-oct-2025, 03-oct-202,MERPAGO*AGREGADOR MAG 2105031W3MX,+ $161.00
02-oct-2025, 03-oct-202,LITTLE CAESA CUMBRES S PCA 0810272Y0MX,+ $159.00
02-oct-2025, 03-oct-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $22.50
02-oct-2025, 03-oct-202,7 ELEVEN T1825 SEM 980701STA,+ $116.50
02-oct-2025, 03-oct-202,7 ELEVEN T2773 LINCES SEM 980701STA,+ $30.50
02-oct-2025, 03-oct-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $22.00
03-oct-2025, 03-oct-202,BANAMEX LIBRA PLUS,+ $240.00
